time,tvlusd,tvleth,dai
2020-02-18 01:00:00,705157315,2634329.47922893,74159124.0634531
2020-02-17 01:00:00,694480352,2679425.718584822,73609306.7670482
2020-02-16 01:00:00,704586122,2660421.847152998,72554257.29002312
2020-02-15 01:00:00,764067133,2676429.637802998,71070606.06103851
2020-02-14 01:00:00,720216017,2685669.601372264,70085039.48287149
2020-02-13 01:00:00,713953340,2686661.172574697,66649161.41314778
2020-02-12 01:00:00,646402434,2726401.0881943568,64222605.4769982
2020-02-11 01:00:00,607800335,2729969.1654689186,63124992.11270343
2020-02-10 01:00:00,621801528,2724809.5004382124,62666529.48335121
2020-02-09 01:00:00,608769552,2730275.6065838453,61921928.56664716
2020-02-08 01:00:00,609702651,2735441.926510835,61232892.024436705
2020-02-07 01:00:00,583538078,2742061.359898501,57824889.75322335
2020-02-06 01:00:00,561711357,2757136.194963923,56298164.294401385
2020-02-05 01:00:00,526930338,2786664.2233856893,56019011.034168355
2020-02-04 01:00:00,520914635,2746715.713155813,50780985.44544042
2020-02-03 01:00:00,518343004,2751435.872392378,51433268.801664025
2020-02-02 01:00:00,515918954,2811700.6594364815,51210977.451884866
2020-02-01 01:00:00,505603495,2814067.4291757112,51100855.778109804
2020-01-31 01:00:00,517144907,2805081.9429377303,50410409.47095207
2020-01-30 01:00:00,490301771,2821718.295349908,49042472.769406065
2020-01-29 01:00:00,495627993,2822482.875854214,48294583.751521885
2020-01-28 01:00:00,474876519,2795035.426721601,45829827.258176595
2020-01-27 01:00:00,467517444,2779863.503389226,43229814.38081305
2020-01-26 01:00:00,449247074,2773986.2550169807,42138572.117840745
2020-01-25 01:00:00,451042695,2760359.2105263155,40744208.87195988
2020-01-24 01:00:00,448740781,2748289.9375306224,39142445.852357
2020-01-23 01:00:00,463312614,2738901.714353275,38888373.42204223
2020-01-22 01:00:00,462326434,2728072.425798076,38028794.12210986
2020-01-21 01:00:00,453437651,2712109.8809737423,36975995.02299338
2020-01-20 01:00:00,460030090,2749731.5600717273,43868042.22666958
2020-01-19 01:00:00,473402958,2713999.6445565554,42980902.37157162
2020-01-18 01:00:00,465773043,2742745.512896008,47817232.091779545
2020-01-17 01:00:00,449270053,2731955.323806628,43199524.08029085
2020-01-16 01:00:00,451437858,2715579.030317613,41727931.81053541
2020-01-15 01:00:00,449745213,2711758.896593307,42217317.3027588
2020-01-14 01:00:00,395397289,2739916.076501975,40761514.82294362
2020-01-13 01:00:00,400337561,2723570.045581332,39019522.17610554
2020-01-12 01:00:00,388427882,2716468.857962095,37956980.474830195
2020-01-11 01:00:00,393601686,2708889.7866483135,37305397.3990504
2020-01-10 01:00:00,374972123,2709336.1488439306,36082997.32583919
2020-01-09 01:00:00,381111407,2703109.490034754,35816850.508750774
2020-01-08 01:00:00,384314120,2683945.2475731545,35306172.36627315
2020-01-07 01:00:00,384347315,2655065.7294832827,32771914.73142515
2020-01-06 01:00:00,360987698,2644404.790857813,31261247.33157093
2020-01-05 01:00:00,357118382,2636727.569403426,30817002.447467003
2020-01-04 01:00:00,354542104,2627210.8484623935,30206361.986485586
2020-01-03 01:00:00,338353012,2627780.459770115,30307369.31832635
2020-01-02 01:00:00,347915325,2618858.2988332706,29894102.149039846
2020-01-01 01:00:00,341262108,2601281.4086439516,28810152.2392845
2019-12-31 01:00:00,342067850,2576976.420069308,28199223.803682767
2019-12-30 01:00:00,349960511,2572293.35538405,27936986.260493968
2019-12-29 01:00:00,333093720,2573145.770567787,27775686.27719594
2019-12-28 01:00:00,326453068,2562828.2932956507,28205060.909849294
2019-12-27 01:00:00,321483977,2544593.7707772674,26257125.532995757
2019-12-26 01:00:00,322899004,2558223.768024085,26149734.4826263
2019-12-25 01:00:00,327206295,2538253.7817081683,25284823.858879987
2019-12-24 01:00:00,327419348,2540892.037870557,25505399.027271517
2019-12-23 01:00:00,340047802,2556365.975041347,25224031.434717767
2019-12-22 01:00:00,331735523,2553776.1585835256,25196189.56437956
2019-12-21 01:00:00,331368303,2560014.701792336,25559792.054526206
2019-12-20 01:00:00,323586505,2506867.872637124,18526913.45354076
2019-12-19 01:00:00,326220628,2445431.9940029983,17490886.757051054
2019-12-18 01:00:00,299111677,2437152.0981015237,17082300.411584876
2019-12-17 01:00:00,321120781,2392495.760691402,18085550.909598093
2019-12-16 01:00:00,332147737,2306421.338795917,16913710.119523708
2019-12-15 01:00:00,330252927,2299010.978071702,16384681.489960479
2019-12-14 01:00:00,334460799,2294599.334522503,16160515.263063414
2019-12-13 01:00:00,334033909,2287590.117792083,15716607.476514816
2019-12-12 01:00:00,331166594,2284853.001241893,15839552.856463758
2019-12-11 01:00:00,333477608,2270099.441797141,14135923.898804411
2019-12-10 01:00:00,337866946,2282113.7858831473,13222670.759944465
2019-12-09 01:00:00,343456264,2257946.643876142,10953467.253703674
2019-12-08 01:00:00,334401761,2242801.8846411803,9518668.007911304
2019-12-07 01:00:00,328646938,2199925.9522056365,8986551.33069384
2019-12-06 01:00:00,325817110,2190661.6687958045,6249177.411500433
2019-12-05 01:00:00,317150384,2169439.6607155073,4119452.2961849803
2019-12-04 01:00:00,320956855,2163510.987529491,3865472.110910604
2019-12-03 01:00:00,324742171,2166681.151587937,3868929.2069435595
2019-12-02 01:00:00,324961322,2139874.371131305,3963571.21452158
2019-12-01 01:00:00,326797354,2135790.824129142,3486773.1427306174
2019-11-30 01:00:00,331490658,2131087.483124397,3536035.831136621
2019-11-29 01:00:00,325905495,2145950.4510436556,3611342.925069921
2019-11-28 01:00:00,328407603,2130303.6001556823,4184130.517756926
2019-11-27 01:00:00,316941439,2129267.309371851,3604589.5607313393
2019-11-26 01:00:00,313746489,2133749.245103373,3459339.45614369
2019-11-25 01:00:00,296176311,2088690.486600846,3347381.324322612
2019-11-24 01:00:00,320435118,2079937.1543554459,3211488.6843949007
2019-11-23 01:00:00,311380251,2060347.0588235294,1018796.7189042398
2019-11-22 01:00:00,319303907,1975401.5528334572,890649.3112747963
2019-11-21 01:00:00,339876787,1933755.046654529,731500.1221844025
2019-11-20 01:00:00,339763845,1920872.0318860244,506363.7080903562
2019-11-19 01:00:00,338143727,1886752.1872558866,362063.7913412441
2019-11-18 01:00:00,349806753,1879569.8941486217,0.0
2019-11-17 01:00:00,347349173,1881835.3721963374,0.0
2019-11-16 01:00:00,340619318,1882186.6497209482,
2019-11-15 01:00:00,349079622,1878185.849564188,
2019-11-14 01:00:00,356140721,1881554.9503381234,
2019-11-13 01:00:00,351790042,1872917.2230208167,
2019-11-12 01:00:00,345372464,1860041.2753123653,
2019-11-11 01:00:00,351279979,1845636.415699049,
2019-11-10 01:00:00,345660002,1847955.1029136593,
2019-11-09 01:00:00,340665398,1846024.6992521947,
2019-11-08 01:00:00,340922692,1816510.5072463767,
2019-11-07 01:00:00,350740126,1822405.310194326,
2019-11-06 01:00:00,341279769,1794037.580823214,
2019-11-05 01:00:00,329330633,1760373.2788112035,
2019-11-04 01:00:00,314872582,1709870.1167526473,
2019-11-03 01:00:00,315167181,1697001.8360973508,
2019-11-02 01:00:00,313347161,1695785.0470830176,
2019-11-01 01:00:00,310454837,1695085.105105105,
2019-10-31 01:00:00,315840057,1711684.6791675698,
2019-10-30 01:00:00,329545532,1720774.5391885543,
2019-10-29 01:00:00,311959835,1706843.7653881926,
2019-10-28 01:00:00,313043494,1695977.3214866181,
2019-10-27 02:00:00,304901455,1693050.4469987229,
2019-10-26 02:00:00,304213584,1668386.4429088517,
2019-10-25 02:00:00,269969899,1652303.684436012,
2019-10-24 02:00:00,269971798,1650194.3643031786,
2019-10-23 02:00:00,271143689,1564410.8527579044,
2019-10-22 02:00:00,275979446,1563445.7625198276,
2019-10-21 02:00:00,278425730,1563223.4574139575,
2019-10-20 02:00:00,274002301,1562602.2298260622,
2019-10-19 02:00:00,273311567,1562583.9974844207,
2019-10-18 02:00:00,281055307,1559252.743411928,
2019-10-17 02:00:00,277214616,1559049.637253248,
2019-10-16 02:00:00,284390431,1559756.655514726,
2019-10-15 02:00:00,295280625,1559196.456859225,
2019-10-14 02:00:00,288057310,1562302.3646816358,
2019-10-13 02:00:00,287303456,1560838.0290107026,
2019-10-12 02:00:00,284784357,1562345.6056616195,
2019-10-11 02:00:00,304750643,1573068.9258246014,
2019-10-10 02:00:00,304669379,1567471.2095487986,
2019-10-09 02:00:00,281481695,1542280.9435099447,
2019-10-08 02:00:00,279588809,1540264.4832525342,
2019-10-07 02:00:00,264622330,1531202.0020830922,
2019-10-06 02:00:00,276717696,1531026.3140422706,
2019-10-05 02:00:00,272794936,1536007.5225225226,
2019-10-04 02:00:00,270110120,1529242.5975202401,
2019-10-03 02:00:00,280771638,1536538.2695780662,
2019-10-02 02:00:00,271823242,1533298.9733754513,
2019-10-01 02:00:00,278850782,1531726.3499038725,
2019-09-30 02:00:00,263418302,1529012.6654283723,
