time,tvlusd,tvleth,category
2020-01-05,478055986,3529651.4028352043,lending
2020-01-04,474267763,3514396.1689514644,lending
2020-01-03,455001087,3533714.5619757697,lending
2020-01-02,465315204,3502560.812946933,lending
2020-01-01,457017173,3483628.1195213054,lending
2019-12-31,458226561,3452060.878408919,lending
2019-12-30,469847766,3453493.318632855,lending
2019-12-29,454334003,3509725.7860177676,lending
2019-12-28,443814882,3484180.2637776732,lending
2019-12-27,440597357,3487393.992401456,lending
2019-12-26,440312006,3488448.7878307714,lending
2019-12-25,445613808,3456782.3132417966,lending
2019-12-24,446675589,3466363.40990222,lending
2019-12-23,461043705,3465972.823635543,lending
2019-12-22,450984310,3471780.6774441875,lending
2019-12-21,450270652,3478605.1606922126,lending
2019-12-20,439572111,3405423.8534242325,lending
2019-12-19,443789271,3326756.154422789,lending
2019-12-18,407507927,3320361.1749368533,lending
2019-12-17,435348615,3243545.037997317,lending
2019-12-16,451604309,3135923.2622734536,lending
2019-12-15,449653701,3130203.2788026454,lending
2019-12-14,454790207,3120130.399286499,lending
2019-12-13,454311327,3111295.2129845223,lending
2019-12-12,450380023,3107354.9261763487,lending
2019-12-11,453247146,3085412.8386657587,lending
2019-12-10,461217891,3115284.640324214,lending
2019-12-09,463149821,3044834.797186247,lending
2019-12-08,453995881,3044908.658618377,lending
2019-12-07,452139549,3026571.718321173,lending
2019-12-06,448264501,3013948.1005849526,lending
2019-12-05,440581260,3013757.849374102,lending
2019-12-04,443560979,2989962.783956859,lending
2019-12-03,444944503,2968671.623965839,lending
2019-12-02,448049272,2950410.061899118,lending
2019-12-01,451385043,2950036.226390432,lending
2019-11-30,458299090,2946313.661202186,lending
2019-11-29,451530738,2973139.777441233,lending
2019-11-28,456626567,2962030.144006227,lending
2019-11-27,443339969,2978434.4575075572,lending
2019-11-26,437547324,2975702.693144723,lending
2019-11-25,417725463,2945877.7362482366,lending
2019-11-24,449526696,2917867.6879138,lending
2019-11-23,436211559,2886333.34877258,lending
2019-11-22,446128850,2760015.1571393223,lending
2019-11-21,473409792,2693501.3199817934,lending
2019-11-20,473038475,2674346.8735866128,lending
2019-11-19,476155342,2656820.3437116398,lending
2019-11-18,492952073,2648713.51888668,lending
2019-11-17,489607957,2652551.5061220066,lending
2019-11-16,481267502,2659377.2558987676,lending
2019-11-15,487719550,2624123.264822985,lending
2019-11-14,495793701,2619366.5521978023,lending
2019-11-13,498901584,2656133.652771123,lending
2019-11-12,494184566,2661485.1680310215,lending
2019-11-11,502920645,2642361.3986234437,lending
2019-11-10,496242919,2652996.0919540226,lending
2019-11-09,490165137,2656145.7515985696,lending
2019-11-08,492102579,2622029.939258312,lending
2019-11-07,504677215,2622244.7001974434,lending
2019-11-06,497098058,2613142.2909110026,lending
2019-11-05,487752014,2607184.167201197,lending
2019-11-04,472153015,2563958.810752104,lending
2019-11-03,475009327,2557663.8326513027,lending
2019-11-02,472376859,2556428.504167118,lending
2019-11-01,466231661,2545627.4146874147,lending
2019-10-31,471173307,2553508.0587470187,lending
2019-10-30,487718543,2546700.1357631455,lending
2019-10-29,465398560,2546361.875581331,lending
2019-10-28,467369944,2532072.510564524,lending
2019-10-27,455269112,2528008.840024432,lending
2019-10-26,457346772,2508208.6870681145,lending
2019-10-25,410648459,2513302.276761124,lending
2019-10-24,407946084,2493557.970660147,lending
2019-10-23,416683336,2404127.2559427647,lending
2019-10-22,424662892,2405749.444822116,lending
2019-10-21,427712141,2401393.1896019313,lending
2019-10-20,421296215,2402601.739378386,lending
2019-10-19,419206498,2396698.2905494263,lending
2019-10-18,430230938,2386856.79889043,lending
2019-10-17,424250704,2385977.7515325355,lending
2019-10-16,432840653,2373940.9477321333,lending
2019-10-15,448930683,2370528.4771359176,lending
2019-10-14,439560630,2383993.003579564,lending
2019-10-13,438760239,2383659.6892486555,lending
2019-10-12,433751011,2379586.411016019,lending
2019-10-11,460379825,2376399.2412119964,lending
2019-10-10,459155535,2362275.7369964505,lending
2019-10-09,428461763,2347607.0516684023,lending
2019-10-08,421737407,2323366.0588364922,lending
2019-10-07,403959504,2337458.0719824093,lending
2019-10-06,420748559,2327921.649883811,lending
2019-10-05,413643911,2329076.0754504506,lending
2019-10-04,409081634,2316037.105814415,lending
2019-10-03,422879248,2314230.0005472554,lending
2019-10-02,410771781,2317079.0895758118,lending
2019-10-01,420427496,2309406.7344136224,lending
2019-09-30,401297537,2329333.2772231246,lending
2019-09-29,410703558,2323904.0230860636,lending
2019-09-28,408448457,2319543.7389971036,lending
2019-09-27,387087875,2316504.33871933,lending
2019-09-26,389005187,2271563.135766424,lending
2019-09-25,380631007,2277182.2135806167,lending
2019-09-24,453239887,2232928.7959404867,lending
2019-09-23,475633080,2230192.1507947673,lending
2019-09-22,484185512,2228804.60320383,lending
2019-09-21,488646295,2226077.6046649357,lending
